YearMonth,Sales Qty.,Max_Temp,Min_Temp,Humidity,Wind_Speed,Population_Millions,Sales_Per_Capita,Season_encoded
2022-01-01,17.0,30.5,24.0,84.0,9.0,11.5,0.29565217391304344,3
2022-02-01,304.0,31.3,24.0,77.0,11.0,11.5,0.2643478260869565,3
2022-03-01,424.0,34.7,26.0,76.0,12.0,11.5,0.34457537586347015,1
2022-04-01,1161.5,35.7,28.0,79.0,13.0,11.5,0.3713235294117647,1
2022-05-01,514.5,36.7,27.0,76.0,15.0,11.5,0.4519104084321476,1
2022-06-01,300.0,36.3,28.0,74.0,15.0,11.5,0.3674219228413962,2
2022-07-01,294.5,34.1,27.0,79.0,14.0,11.5,0.45729813664596275,2
2022-08-01,370.5,34.2,27.0,78.0,14.0,11.5,0.3881613410162389,2
2022-09-01,328.0,34.2,28.0,76.0,12.0,11.5,0.2640901771336554,0
2022-10-01,384.0,32.5,26.0,76.0,10.0,11.5,0.41739130434782606,0
2022-11-01,117.5,29.5,24.0,86.0,9.0,11.5,0.32959326788218796,0
2022-12-01,659.5,29.6,24.0,83.0,12.0,11.5,0.31167296786389415,3
2023-01-01,180.5,30.1,23.0,75.0,10.0,11.77,0.3485363404649726,3
2023-02-01,477.0,31.6,23.0,74.0,9.0,11.77,0.36842511778790454,3
2023-03-01,705.0,32.6,25.0,76.0,11.0,11.77,0.3346259546332642,1
2023-04-01,1033.0,35.3,28.0,74.0,13.0,11.77,0.3703185887025944,1
2023-05-01,883.5,36.70000000000001,28.0,74.0,13.0,11.77,0.33067718645552235,1
2023-06-01,567.0,37.0,28.0,70.0,16.0,11.77,0.2937397683237665,2
2023-07-01,526.5,34.2,28.0,72.0,16.0,11.77,0.39238921432723695,2
2023-08-01,679.0,35.6,27.0,76.0,14.0,11.77,0.3770525485753633,2
2023-09-01,600.0,34.3,26.0,79.0,15.0,11.77,0.38328616784101294,0
2023-10-01,456.0,33.0,27.0,81.0,10.0,11.77,0.3835897608452434,0
2023-11-01,435.5,30.0,25.0,87.0,9.0,11.769999999999998,0.3426004594228893,0
2023-12-01,860.0,29.099999999999998,24.0,83.0,12.0,11.77,0.4248088360237893,3
2024-01-01,359.5,29.6,24.0,78.0,9.0,12.05,0.4589849984040855,3
2024-02-01,729.5,31.6,25.0,75.0,11.0,12.05,0.3956824776937054,3
2024-03-01,1398.0,33.2,26.0,74.0,12.0,12.05,0.40850914616328676,1
2024-04-01,30.0,36.0,28.0,74.0,13.0,12.050000000000002,0.8298755186721992,1
2024-05-01,58.0,36.5,30.0,73.0,14.0,12.05,0.4813278008298755,1
2024-06-01,151.0,35.5,27.0,75.0,15.0,12.05,0.5012448132780083,2
2024-07-01,324.0,34.2,27.0,73.0,15.0,12.05,0.40131293738775,2
2024-08-01,404.0,34.2,27.0,77.0,14.0,12.05,0.4656523743660673,2
2024-09-01,735.0,34.7,27.0,75.0,13.0,12.05,0.4484989016353429,0
2024-10-01,541.0,32.6,27.0,81.0,10.0,12.050000000000002,0.4676694329183955,0
2024-11-01,347.0,29.8,25.0,83.0,12.0,12.05,0.3944750753140453,0
2024-12-01,994.0,29.299999999999997,25.0,85.0,13.0,12.05,0.5536216547383663,3
