Dataset,Model_Type,Model_Name,MAE,RMSE,MAPE,R2
Combined,ML,Linear Regression,701446.45199716,862439.8982868342,1323.5387995706094,-652.6417275968801
Combined,ML,Ridge,138022.2791115377,140254.5840080765,309.55718481841575,-16.28686413253784
Combined,ML,Lasso,273627.30718228343,280696.61846835376,633.2862832738524,-68.2399030831593
Combined,ML,ElasticNet,106943.363444208,108480.98763986197,235.28477501938437,-9.341638456034554
Combined,ML,Random Forest,22656.314166666667,31916.949936033332,33.877737621867595,0.1047901448603552
Combined,ML,Gradient Boosting,24326.320960070534,33701.31465372018,36.828033748684504,0.0018960484808425715
Combined,ML,AdaBoost,25173.485912698412,33446.560305859646,39.894029488544504,0.01692871307326682
Combined,ML,Extra Trees,24860.266666666666,33868.01642573098,38.57680712340109,-0.008002509371443312
Combined,ML,XGBoost,28054.946533203125,35982.77007105957,47.5768028823716,-0.13781401063718945
Combined,ML,LightGBM,28360.226190476194,42906.19881969945,38.39603542095223,-0.617790092962341
Combined,ML,CatBoost,25900.536424948892,34576.02340636421,38.74365029471263,-0.050587373393328416
Combined,ML,SVR,33881.181680474634,47287.629404902524,47.771129349941276,-0.9650661533470464
Combined,ML,KNN,30164.099999999995,38078.46633396186,46.53542296242093,-0.27420993292955753
Combined,Time Series,ARIMA,27795.733830330948,41899.93631002407,,-0.5427971056549536
Combined,Time Series,SARIMA,15695.404588129975,26859.499412683635,,0.3660165534408849
Combined,Time Series,Prophet,64957.81153792946,71275.75718871079,147.97963949692218,-3.4644274436744853
Combined,Time Series,ETS,25548.099385751775,32844.99372163762,,0.05197354600352733
Bangalore,ML,Linear Regression,14860.138542717415,36129.593211092084,268.9030962600984,-214.7965293807201
Bangalore,ML,Ridge,2682.9273912530894,3590.5460757633805,47.407226977544134,-1.131274164876674
Bangalore,ML,Lasso,5004.735053321586,7063.42167652156,88.3441745682239,-7.2479986220838
Bangalore,ML,ElasticNet,2325.3417586643086,3127.090399218278,40.864988130286946,-0.616587381341233
Bangalore,ML,Random Forest,1692.5041666666668,2074.746070139267,32.540026714260435,0.2883798885452785
Bangalore,ML,Gradient Boosting,1677.8938468482172,2317.565153750595,28.444586792793285,0.11206287019041183
Bangalore,ML,AdaBoost,1255.886826441103,1685.6749048255042,24.10639523629108,0.5302509019732498
Bangalore,ML,Extra Trees,1896.7058333333334,2494.48420962297,36.17397837888963,-0.028678896731005876
Bangalore,ML,XGBoost,1609.1830240885417,2117.7029004000556,32.27600279669512,0.2586071814366401
Bangalore,ML,LightGBM,1958.5809523809523,3020.983545994594,29.169702760548127,-0.5087421790559266
Bangalore,ML,CatBoost,1532.169919963622,2158.909067650424,26.79429042471601,0.22947450535652614
Bangalore,ML,SVR,2666.9921949611858,3619.2819692607072,41.89210322600128,-1.165524744414117
Bangalore,ML,KNN,1721.3833333333334,2145.2617532599606,31.51432566145975,0.23918530530861548
Bangalore,Time Series,ARIMA,1856.1523266165816,2765.1823875215314,,-0.2640547244786875
Bangalore,Time Series,SARIMA,692.3945364752126,1218.2322699095619,,0.7546542660496817
Bangalore,Time Series,Prophet,6146.70049298726,6397.044345239031,139.25688464192442,-5.765143836585279
Bangalore,Time Series,ETS,1690.6580911188357,1812.9463119990633,,0.4566393314649255
Chennai,ML,Linear Regression,57683.29161365627,170509.5310770031,327.61345190194737,-903.1330516542619
Chennai,ML,Ridge,7831.975167041467,8532.150014059489,58.251836787914,-1.263872640884287
Chennai,ML,Lasso,19759.153882004797,21051.39627043602,151.81062536633343,-12.781511078162062
Chennai,ML,ElasticNet,5489.408938422173,6243.1958194976405,40.0039703768125,-0.21212927252501723
Chennai,ML,Random Forest,4061.7508333333335,4755.691508996527,25.827274970840474,0.2966647632118853
Chennai,ML,Gradient Boosting,5964.866261672283,6747.177781087995,41.180362003646955,-0.4157264062525239
Chennai,ML,AdaBoost,5104.514407487937,6264.539267016064,31.000782652624192,-0.22043118729518407
Chennai,ML,Extra Trees,4853.087500000001,5645.713603114461,31.26386430223271,0.00877393775063584
Chennai,ML,XGBoost,5794.46142578125,6612.9006287002585,36.83831556317973,-0.3599377173370011
Chennai,ML,LightGBM,4870.7904761904765,6474.342606041802,27.962023768998602,-0.30354605764734566
Chennai,ML,CatBoost,3442.148413949117,4382.7646889992775,23.181657248938826,0.4026466087795557
Chennai,ML,SVR,5957.579169091866,7934.041985353226,31.619391632852317,-0.9576002612355583
Chennai,ML,KNN,3893.4833333333336,4496.347615194655,26.000945294932553,0.3712836066377778
Chennai,Time Series,ARIMA,4966.106708640332,6645.693197683002,,-0.37345868993785625
Chennai,Time Series,SARIMA,6291.24023248793,7511.018651801166,,-0.7544165135306837
Chennai,Time Series,Prophet,70017.05459584577,80851.33508541792,567.8708012731086,-202.28691118555508
Chennai,Time Series,ETS,3356.3006529986633,4508.417315800573,,0.3679037062337921
Cochin,ML,Linear Regression,7265.338357812553,9653.543770721697,160.365100389476,-5.201565612213593
Cochin,ML,Ridge,4150.041351090489,4636.344397062275,69.20835328506668,-0.43047140339328593
Cochin,ML,Lasso,5033.389152684728,6166.1120519489095,101.23021065924522,-1.530175393529229
Cochin,ML,ElasticNet,3910.2334803050385,4456.214512710115,62.23023635177839,-0.3214781298892533
Cochin,ML,Random Forest,3306.093333333333,4180.618714329255,45.03265646416194,-0.1630782205868
Cochin,ML,Gradient Boosting,3673.3127541104354,4663.368572779421,49.407636180597756,-0.44719577479029393
Cochin,ML,AdaBoost,3246.9049704924705,3960.004770194314,46.03279348666749,-0.043564317403231856
Cochin,ML,Extra Trees,2911.539166666667,3687.0111543622525,40.68666567916928,0.09535808599825402
Cochin,ML,XGBoost,3648.531679789225,4441.9827158067665,53.14618254910444,-0.31305080828504583
Cochin,ML,LightGBM,3784.347619047619,5194.866522860826,48.99310833895124,-0.7958770032360123
Cochin,ML,CatBoost,3546.671697129199,4440.968243161464,47.98515375748023,-0.3124511202164708
Cochin,ML,SVR,4153.153656745727,5578.061800635645,52.12014465088863,-1.0705915908720738
Cochin,ML,KNN,3393.233333333332,4344.673253537025,45.923214824577016,-0.2561515640602905
Cochin,Time Series,ARIMA,3822.219038809919,5214.619641663057,,-0.8095603637915716
Cochin,Time Series,SARIMA,2993.8387656768577,3880.944744630007,,-0.002311519353948688
Cochin,Time Series,Prophet,3019.3353543047874,4102.904033617546,60.732327143099354,-0.12023856812031974
Cochin,Time Series,ETS,3327.3894096091717,3995.466374564319,,-0.06233811311749915
Secunderabad,ML,Linear Regression,48773.994470855665,129418.70926734078,371.4571547041289,-196.7094419503442
Secunderabad,ML,Ridge,6081.554663251137,9143.049664813216,41.6666309772539,0.013231131129857854
Secunderabad,ML,Lasso,6085.014720221482,9586.487569201241,42.360476888157166,-0.08480657523662805
Secunderabad,ML,ElasticNet,5866.435647293314,9024.979955249513,38.80378038697186,0.03855205842078324
Secunderabad,ML,Random Forest,5269.541666666667,7984.138516075691,35.26801572075405,0.2475296225074215
Secunderabad,ML,Gradient Boosting,4672.800484745624,7899.091265565887,32.72639717991731,0.26347491090878783
Secunderabad,ML,AdaBoost,5514.568150252525,8265.8357513904,36.85761111585628,0.19349544511388128
Secunderabad,ML,Extra Trees,5336.775833333334,8121.802127372451,34.98259171926812,0.22135752471971903
Secunderabad,ML,XGBoost,5456.7739664713545,8271.865433282232,42.15696844519668,0.19231837367156046
Secunderabad,ML,LightGBM,6464.742857142856,10675.980956990023,42.202865347558074,-0.3453920679536413
Secunderabad,ML,CatBoost,5356.616718194808,8254.890812788406,35.34793714209376,0.19562984483175072
Secunderabad,ML,SVR,8055.890628907128,11880.795334580751,50.564947749643586,-0.6661891844205559
Secunderabad,ML,KNN,5897.033333333333,9201.158303894861,37.243297129880624,0.0006484569318797595
Secunderabad,Time Series,ARIMA,6488.997351094105,10449.914680446105,,-0.2890173745111053
Secunderabad,Time Series,SARIMA,4672.985812259735,7630.025612668936,,0.31279664106619076
Secunderabad,Time Series,Prophet,19894.647184098707,22052.94503345571,206.8361338739439,-4.740721414708569
Secunderabad,Time Series,ETS,5706.843418968979,8329.195195517614,,0.18108398982842877
Vijaywada,ML,Linear Regression,6528.31059235319,8178.903174222163,125.17662155035636,-3.580860070027624
Vijaywada,ML,Ridge,4395.579281330769,5154.273337211724,66.83825985020403,-0.8192474883785479
Vijaywada,ML,Lasso,6629.432743225391,8598.777693773432,107.38953561097875,-4.063261227624992
Vijaywada,ML,ElasticNet,4453.554645280657,5203.814954309866,68.63011922883983,-0.854387886623297
Vijaywada,ML,Random Forest,3651.376666666667,4396.985149449943,49.11567050352412,-0.32393568963952646
Vijaywada,ML,Gradient Boosting,3810.3954403856533,4431.689033146042,49.88489954671676,-0.34491689627536704
Vijaywada,ML,AdaBoost,3926.0801587301594,4622.798082088565,52.086025427063035,-0.4634124346116619
Vijaywada,ML,Extra Trees,3841.7325000000005,4568.77755475594,49.55608293930641,-0.429410339588326
Vijaywada,ML,XGBoost,3983.3281860351562,4637.490898774341,53.10263198286375,-0.47272965765105
Vijaywada,ML,LightGBM,4000.6111111111113,5142.995079609633,49.582855427933865,-0.8112946723603136
Vijaywada,ML,CatBoost,3873.1136310063594,4614.703052488644,49.43098421522527,-0.45829172865957557
Vijaywada,ML,SVR,4517.416129656027,5691.068684710537,52.80236170462773,-1.2179132029392745
Vijaywada,ML,KNN,3531.8999999999996,4464.9035652146695,52.3955053015452,-0.3651521537082061
Vijaywada,Time Series,ARIMA,4000.586644296965,5126.636987675979,,-0.799790790289798
Vijaywada,Time Series,SARIMA,2788.552931183669,3535.5653001852484,,0.1439983185011786
Vijaywada,Time Series,Prophet,3955.343585712312,5097.853100707953,49.30182079252148,-0.7796374057826936
Vijaywada,Time Series,ETS,3408.0684626047637,4249.466325491888,,-0.23658984636983482
