Date,Max_Temp,Min_Temp,Humidity,Wind_Speed
2021-01-01,29.8,23.0,80.0,8.0
2021-02-01,30.3,21.0,70.0,9.0
2021-03-01,33.1,24.0,71.0,8.0
2021-04-01,34.7,27.0,70.0,11.0
2021-05-01,35.3,27.0,66.0,13.0
2021-06-01,36.3,28.0,63.0,14.0
2021-07-01,34.8,27.0,69.0,12.0
2021-08-01,34.6,27.0,70.0,11.0
2021-09-01,34.5,27.0,72.0,11.0
2021-10-01,33.2,27.0,78.0,8.0
2021-11-01,29.1,25.0,89.0,8.0
2021-12-01,30.8,24.0,81.0,8.0
2022-01-01,30.5,24.0,84.0,9.0
2022-02-01,31.3,24.0,77.0,11.0
2022-03-01,34.7,26.0,76.0,12.0
2022-04-01,35.7,28.0,79.0,13.0
2022-05-01,36.7,27.0,76.0,15.0
2022-06-01,36.3,28.0,74.0,15.0
2022-07-01,34.1,27.0,79.0,14.0
2022-08-01,34.2,27.0,78.0,14.0
2022-09-01,34.2,28.0,76.0,12.0
2022-10-01,32.5,26.0,76.0,10.0
2022-11-01,29.5,24.0,86.0,9.0
2022-12-01,29.6,24.0,83.0,12.0
2023-01-01,30.1,23.0,75.0,10.0
2023-02-01,31.6,23.0,74.0,9.0
2023-03-01,32.6,25.0,76.0,11.0
2023-04-01,35.3,28.0,74.0,13.0
2023-05-01,36.7,28.0,74.0,13.0
2023-06-01,37.0,28.0,70.0,16.0
2023-07-01,34.2,28.0,72.0,16.0
2023-08-01,35.6,27.0,76.0,14.0
2023-09-01,34.3,26.0,79.0,15.0
2023-10-01,33.0,27.0,81.0,10.0
2023-11-01,30.0,25.0,87.0,9.0
2023-12-01,29.1,24.0,83.0,12.0
2024-01-01,29.6,24.0,78.0,9.0
2024-02-01,31.6,25.0,75.0,11.0
2024-03-01,33.2,26.0,74.0,12.0
2024-04-01,36.0,28.0,74.0,13.0
2024-05-01,36.5,30.0,73.0,14.0
2024-06-01,35.5,27.0,75.0,15.0
2024-07-01,34.2,27.0,73.0,15.0
2024-08-01,34.2,27.0,77.0,14.0
2024-09-01,34.7,27.0,75.0,13.0
2024-10-01,32.6,27.0,81.0,10.0
2024-11-01,29.8,25.0,83.0,12.0
2024-12-01,29.3,25.0,85.0,13.0
2025-01-01,29.1,23.0,79.0,11.0
2025-02-01,31.5,24.0,75.0,10.0
2025-03-01,33.3,26.0,74.0,11.0
2025-04-01,34.8,28.0,75.0,13.0
2025-05-01,35.7,28.0,73.0,14.0
2025-06-01,36.5,28.0,67.0,17.0
2025-07-01,35.7,28.0,67.0,17.0
2025-08-01,34.7,26.0,74.0,14.0
2025-09-01,33.7,27.0,78.0,13.0
2025-10-01,32.2,26.0,84.0,11.0
2025-11-01,29.9,24.8,85.9,9.9
2025-12-01,29.8,24.1,82.2,10.6
