"Month","Average","2025","2024","2023","2022","2021"
"January","78.5","79","78","75","84","80"
"February","73.3","75","75","74","77","70"
"March","73.3","74","74","76","76","71"
"April","74.0","75","74","74","79","70"
"May","71.5","73","73","74","76","66"
"June","68.7","67","75","70","74","63"
"July","72.7","67","73","72","79","69"
"August","74.5","74","77","76","78","70"
"September","76.0","78","75","79","76","72"
"October","78.9","84","81","81","76","78"
"November","85.9","-","83","87","86","89"
"December","82.2","-","85","83","83","81"
"**Average**","**75.5**","**74.0**","**76.7**","**76.7**","**78.5**","**73.4**"
